Player,PTS,AST,ORB,DRB,STL,BLK,TOV,FGA,3PA,FTA,eFG%,FG%,3P%,FT%,G,MP,TS%,USG%,AST%,ORB%,DRB%,STL%,BLK%,TOV%,3PAr,FTr,OBPM,DBPM,0-3 % of FGA,10-16 % of FGA,3P % of FGA,0-3 FG%,10-16 FG%,% of 2P Ast’d,% of 3P Ast’d,Dunks %FGA,3PA% Corner
Mikal Bridges,23.6,5.0,1.2,3.1,1.2,0.7,2.2,19.3,7.6,1.9,0.57,0.5,0.354,0.814,82,3036,0.585,19.6,14.4,2.7,7.0,1.2,1.3,9.7,0.391,0.1,0.4,-0.9,0.185,0.192,0.391,0.785,0.507,0.682,0.957,0.025,0.449
Josh Hart,18.0,7.8,2.8,9.9,2.0,0.5,2.7,13.2,4.3,3.5,0.579,0.525,0.333,0.776,77,2897,0.611,15.3,20.7,6.4,22.6,2.0,0.9,15.5,0.327,0.266,1.1,1.8,0.408,0.066,0.327,0.732,0.412,0.613,0.869,0.03,0.258
Anthony Edwards,37.4,6.2,1.0,6.7,1.6,0.9,4.3,27.7,13.9,8.5,0.547,0.447,0.395,0.837,79,2871,0.595,31.4,20.9,2.4,14.8,1.6,1.7,12.0,0.503,0.308,4.4,0.0,0.176,0.084,0.503,0.678,0.341,0.384,0.475,0.039,0.107
Devin Booker,34.0,9.4,1.3,4.1,1.2,0.3,3.9,25.1,9.7,8.5,0.525,0.461,0.332,0.894,75,2795,0.589,29.3,30.6,3.1,8.9,1.2,0.5,11.9,0.388,0.34,2.8,-2.4,0.109,0.206,0.388,0.69,0.531,0.431,0.716,0.013,0.123
James Harden,31.8,12.1,1.0,7.1,2.1,1.0,6.0,22.9,11.8,10.2,0.501,0.41,0.352,0.874,79,2789,0.582,29.6,36.8,2.3,16.1,2.1,2.0,18.0,0.516,0.446,3.5,0.8,0.106,0.122,0.516,0.657,0.405,0.176,0.37,0.003,0.042
DeMar DeRozan,30.2,6.0,0.9,4.4,1.1,0.6,1.9,23.1,4.5,7.8,0.509,0.477,0.328,0.857,77,2768,0.569,25.0,18.7,2.0,10.1,1.1,1.1,6.5,0.196,0.337,1.2,-1.2,0.065,0.299,0.196,0.706,0.509,0.363,0.881,0.006,0.309
Trae Young,31.4,15.0,0.6,3.4,1.6,0.2,6.1,23.5,11.0,9.6,0.491,0.411,0.34,0.875,76,2739,0.567,29.6,46.4,1.4,8.2,1.6,0.4,17.9,0.467,0.408,3.3,-2.7,0.124,0.134,0.467,0.544,0.467,0.287,0.294,0.001,0.078
Tyler Herro,33.7,7.8,0.6,6.7,1.3,0.3,3.6,25.2,12.3,6.0,0.563,0.472,0.375,0.878,77,2725,0.605,28.0,26.2,1.4,14.6,1.3,0.6,11.5,0.486,0.237,3.8,-0.7,0.137,0.126,0.486,0.698,0.529,0.378,0.753,0.008,0.118
OG Anunoby,24.4,3.0,1.8,4.8,2.0,1.2,1.9,18.8,8.4,4.1,0.559,0.476,0.372,0.81,74,2706,0.591,19.7,8.5,4.2,11.0,2.0,2.2,8.3,0.448,0.22,0.7,0.1,0.338,0.055,0.448,0.706,0.321,0.717,0.93,0.14,0.45
Jalen Green,31.1,5.1,0.8,6.0,1.3,0.5,3.7,25.9,11.9,6.1,0.505,0.423,0.354,0.813,82,2697,0.544,27.3,16.0,1.7,13.4,1.3,0.9,11.4,0.46,0.234,1.1,-0.5,0.191,0.058,0.46,0.664,0.298,0.262,0.538,0.046,0.107
Christian Braun,21.9,3.7,1.8,5.6,1.5,0.7,1.5,14.8,4.0,3.8,0.634,0.58,0.397,0.827,79,2675,0.665,15.8,10.1,4.2,12.2,1.5,1.2,8.1,0.273,0.261,0.8,-0.5,0.418,0.027,0.273,0.758,0.409,0.762,0.888,0.124,0.317
Bam Adebayo,26.3,6.3,3.5,10.5,1.8,1.0,3.0,20.8,4.1,6.1,0.521,0.485,0.357,0.765,78,2674,0.561,23.5,20.0,7.7,23.1,1.8,1.9,11.4,0.199,0.295,1.0,1.0,0.213,0.247,0.199,0.705,0.436,0.605,0.886,0.123,0.29
Ivica Zubac,25.1,4.0,5.6,13.3,1.0,1.7,2.4,17.7,0.0,4.4,0.628,0.628,0.0,0.661,80,2624,0.641,19.5,12.8,13.1,30.2,1.0,3.4,10.8,0.0,0.251,2.3,0.8,0.426,0.072,0.0,0.706,0.485,0.703,0.0,0.203,0.0
Jayson Tatum,36.9,8.2,0.9,11.0,1.5,0.7,4.0,28.0,13.9,8.4,0.537,0.452,0.343,0.814,72,2624,0.582,31.2,27.0,2.0,23.7,1.5,1.3,11.2,0.497,0.3,4.4,0.8,0.182,0.089,0.497,0.782,0.359,0.35,0.46,0.059,0.059
Jaden McDaniels,18.9,3.1,2.4,6.4,2.1,1.4,1.8,15.7,5.7,2.4,0.537,0.477,0.33,0.813,82,2614,0.562,16.3,9.0,5.6,14.2,2.1,2.6,9.6,0.363,0.153,-1.4,1.4,0.253,0.121,0.363,0.73,0.535,0.611,0.95,0.074,0.512
